0.00 MB  7743dd8f9000-7743dd8fa000 r--p 00004000 103:02 27012200 /usr/lib/x86_64-linux-gnu/libXxf86vm.so.1.0.0
0.00 MB  7743dd8f8000-7743dd8f9000 r--p 00004000 103:02 27012200 /usr/lib/x86_64-linux-gnu/libXxf86vm.so.1.0.0
0.00 MB  7743dd8f4000-7743dd8f5000 r--p 00000000 103:02 27012200 /usr/lib/x86_64-linux-gnu/libXxf86vm.so.1.0.0
0.00 MB  7743dd8f3000-7743dd8f4000 rw-p 00012000 103:02 27012182 /usr/lib/x86_64-linux-gnu/libXext.so.6.4.0
0.00 MB  7743dd8f2000-7743dd8f3000 r--p 00011000 103:02 27012182 /usr/lib/x86_64-linux-gnu/libXext.so.6.4.0
0.00 MB  7743dd8df000-7743dd8e0000 rw-s 00000000 00:01 55369 /memfd:state table (deleted)
0.00 MB  7743dd8de000-7743dd8df000 rw-s 00000000 00:01 55370 /memfd:state table (deleted)
0.00 MB  7743dd8dd000-7743dd8de000 rw-s 00000000 00:01 55370 /memfd:state table (deleted)
0.00 MB  7743dd8dc000-7743dd8dd000 rw-p 0007c000 103:02 27012919 /usr/lib/x86_64-linux-gnu/libvulkan.so.1.3.275
0.00 MB  7743dd8db000-7743dd8dc000 r--p 0007b000 103:02 27012919 /usr/lib/x86_64-linux-gnu/libvulkan.so.1.3.275
0.00 MB  7743dd83c000-7743dd83d000 rw-p 00044000 103:02 27005443 /usr/lib/x86_64-linux-gnu/libglfw.so.3.3
